Time,HF kWm2,St I2,St J2,St I,St J
5.249,20.47315169,135.04475,205.94751,150.06491,145.897
5.279,19.52193355,134.74501,205.72449,149.66496,145.62714
5.309,19.14145121,134.62532,208.7538,149.16264,144.90878
5.339,18.68779163,134.26915,211.99704,148.69714,144.30791
5.369,19.7560737,134.02809,213.00461,148.26512,149.46297
5.399,19.22924916,133.81833,212.47754,148.16747,154.79704
5.429,18.98047602,133.54936,211.7271,147.99507,160.78683
5.459,18.62924738,133.10329,209.87953,147.9834,159.90443
5.489,18.07315686,132.56667,207.93315,147.48239,157.50957
5.519,19.024375,131.98235,207.41785,148.04886,154.91344
5.549,19.1560842,131.69612,207.02676,148.01062,153.67026
5.579,18.99510901,131.37302,206.46159,147.57056,152.81448
5.609,19.87314991,130.99962,208.31287,148.39258,152.91653
5.639,19.60974378,130.86143,209.3,149.6992,151.92299
5.669,19.1560842,130.79707,209.0112,150.13271,150.32338
5.699,17.82437144,130.795,208.5032,150.36755,150.20268
5.729,17.5755983,131.13777,208.5148,151.39972,149.61264
5.759,16.68291214,131.43428,207.90901,152.58493,149.03668
5.789,16.17072059,131.49802,207.78371,153.46284,148.36668
5.819,15.76095998,131.6472,207.23149,152.46028,146.5293
5.849,15.77559298,131.54286,207.45969,152.05588,145.90926
5.879,15.16095821,131.35666,206.03557,151.38722,145.22801
5.909,14.60486768,131.31964,204.18391,150.93294,144.6485
5.939,14.73657689,131.07835,203.11583,150.62166,143.57199
5.969,15.61461779,130.95778,202.07373,149.76511,143.10425
5.999,15.38047764,130.97411,201.90956,149.03079,142.17584
6.029,16.28778452,130.85257,203.38213,148.4733,141.38573
6.059,18.79022257,130.65283,205.2095,148.28322,141.51472
6.089,18.27803102,130.62866,206.60913,147.88466,140.45583
6.119,17.92681466,130.78554,207.71487,147.65355,140.25378
6.149,18.57071542,130.7271,207.62207,147.43062,140.78099
6.179,18.42437322,130.73654,207.59746,147.17557,140.80264
6.209,17.79510546,130.96661,206.84253,147.19664,140.95016
6.239,17.45852209,131.09616,207.24054,147.22934,140.03244
